Weight,SL,Sample,Copepod,Dive,Province
0.08,19.26,D61,Yes,CHR0197,Central
0.1,20.95,D62,Yes,CHR0197,Central
0.09,19.52,D63,Yes,CHR0197,Central
0.09,19.93,D64,No,CHR0197,Central
0.1,21.58,D65,Yes,CHR0197,Central
0.05,18.17,D66,Yes,CHR0197,Central
0.1,21.64,D67,Yes,CHR0197,Central
0.08,19.31,D68,Yes,CHR0197,Central
0.05,17.35,D69,No,CHR0197,Central
0.11,21.88,D7,Yes,CHR0197,Central
0.14,23.71,D70,No,CHR0197,Central
0.06,18.62,D71,No,CHR0197,Central
0.07,20.55,D72,Yes,CHR0197,Central
0.08,19.27,D73,Yes,CHR0197,Central
0.06,19.74,D74,Yes,CHR0197,Central
0.09,20.27,D75,Yes,CHR0197,Central
0.07,19.7,D76,Yes,CHR0197,Central
0.07,18.6,D77,No,CHR0197,Central
0.08,20.54,D78,No,CHR0197,Central
0.07,19.14,D79,No,CHR0197,Central
0.07,17.59,D8,Yes,CHR0197,Central
0.06,19.13,D80,Yes,CHR0197,Central
0.08,20.17,D81,Yes,CHR0197,Central
0.09,21.96,D82,No,CHR0197,Central
0.06,18.94,D83,No,CHR0197,Central
0.08,20.23,D84,No,CHR0197,Central
0.07,18.74,D85,Yes,CHR0197,Central
0.06,17.49,D86,No,CHR0197,Central
0.08,20.83,D87,Yes,CHR0197,Central
0.09,21.21,D88,Yes,CHR0197,Central
0.09,20.25,D89,No,CHR0197,Central
0.05,18.07,D9,Yes,CHR0197,Central
0.07,19.72,D90,No,CHR0197,Central
0.08,20.16,D91,Yes,CHR0197,Central
0.07,19.61,D92,No,CHR0197,Central
0.05,20.27,D93,Yes,CHR0197,Central
0.07,18.3,D94,Yes,CHR0197,Central
0.06,17.8,D95,Yes,CHR0197,Central
0.06,17.37,D96,Yes,CHR0197,Central
0.1,23.1,D97,Yes,CHR0197,Central
0.08,19.19,D98,Yes,CHR0197,Central
0.09,20.47,D99,Yes,CHR0197,Central
0.1,22.4,E1,Yes,CHR0198,Central
0.04,17.06,E11,Yes,CHR0198,Central
0.04,18.62,E2,No,CHR0198,Central
0.04,17.94,E3,No,CHR0198,Central
0.09,20.9,F1,Yes,CHR0199,Central
0.03,16.09,F10,Yes,CHR0199,Central
0.1,22.11,F11,Yes,CHR0199,Central
0.06,18.87,F12,No,CHR0199,Central
0.05,18.12,F13,No,CHR0199,Central
0.06,18.57,F14,Yes,CHR0199,Central
0.08,21.97,F15,No,CHR0199,Central
0.07,19.91,F16,No,CHR0199,Central
0.05,19,F17,Yes,CHR0199,Central
0.17,27.35,F18,Yes,CHR0199,Central
0.13,23.47,F19,Yes,CHR0199,Central
0.07,19.91,F2,Yes,CHR0199,Central
0.15,27.75,F20,Yes,CHR0199,Central
0.08,19.78,F21,Yes,CHR0199,Central
0.1,22.38,F22,Yes,CHR0199,Central
0.11,22.37,F23,Yes,CHR0199,Central
0.06,18.58,F24,Yes,CHR0199,Central
0.05,18.9,F25,Yes,CHR0199,Central
0.06,18.32,F3,Yes,CHR0199,Central
0.09,22.48,F4,Yes,CHR0199,Central
0.05,18.09,F5,No,CHR0199,Central
0.03,16.41,F6,No,CHR0199,Central
0.04,16.52,F7,Yes,CHR0199,Central
0.04,16.53,F8,Yes,CHR0199,Central
0.07,20.2,F9,Yes,CHR0199,Central
0.07,20.24,G1,No,CHR0201,South-Central
0.09,23.12,G10,No,CHR0201,South-Central
0.08,20.1,G11,Yes,CHR0201,South-Central
0.07,20.87,G12,Yes,CHR0201,South-Central
0.07,18.8,G13,Yes,CHR0201,South-Central
0.04,17.21,G14,No,CHR0201,South-Central
0.09,22.69,G2,Yes,CHR0201,South-Central
0.05,17.39,G3,No,CHR0201,South-Central
0.15,23.28,G4,No,CHR0201,South-Central
0.14,24.37,G5,No,CHR0201,South-Central
0.29,28.29,G6,No,CHR0201,South-Central
0.09,22.75,G7,No,CHR0201,South-Central
0.11,21.66,G8,No,CHR0201,South-Central
0.1,21.23,G9,Yes,CHR0201,South-Central
0.23,28.4,H1,No,CHR0202,South-Central
0.06,19.52,H10,No,CHR0202,South-Central
0.08,20.8,H11,No,CHR0202,South-Central
0.1,21.94,H12,No,CHR0202,South-Central
0.13,25.93,H13,No,CHR0202,South-Central
0.18,26.29,H14,No,CHR0202,South-Central
0.16,25.55,H15,No,CHR0202,South-Central
0.14,24.44,H16,No,CHR0202,South-Central
0.16,24.67,H17,No,CHR0202,South-Central
0.22,27.2,H18,No,CHR0202,South-Central
0.01,12.11,H2,No,CHR0202,South-Central
0.21,28.51,H21,No,CHR0202,South-Central
0.04,17.23,H22,Yes,CHR0202,South-Central
0.05,19.9,H23,No,CHR0202,South-Central
0.09,22.62,H3,No,CHR0202,South-Central
0.05,18.42,H4,No,CHR0202,South-Central
0.04,16.32,H5,No,CHR0202,South-Central
0.04,16.83,H6,No,CHR0202,South-Central
0.02,13.91,H7,No,CHR0202,South-Central
0.02,14.25,H8,No,CHR0202,South-Central
0.03,16.67,H9,No,CHR0202,South-Central
0.08,22.01,I1,No,CHR0203,South-Central
0.06,19.67,I10,No,CHR0203,South-Central
0.06,19.56,I11,No,CHR0203,South-Central
0.17,26.72,I12,No,CHR0203,South-Central
0.1,23.9,I18,No,CHR0203,South-Central
0.03,17.64,I19,No,CHR0203,South-Central
0.09,20.65,I2,No,CHR0203,South-Central
0.09,21.59,I3,Yes,CHR0203,South-Central
0.08,20.46,I4,No,CHR0203,South-Central
0.07,20.95,I5,No,CHR0203,South-Central
0.11,24.96,I6,No,CHR0203,South-Central
0.15,24.78,I7,No,CHR0203,South-Central
0.08,20.54,K1,No,CHR0207,South-Central
0.05,17.65,K10,No,CHR0207,South-Central
0.04,17.23,K2,No,CHR0207,South-Central
0.04,17,K3,No,CHR0207,South-Central
0.1,22.49,K4,No,CHR0207,South-Central
0.11,23.69,K5,No,CHR0207,South-Central
0.03,16.46,K6,No,CHR0207,South-Central
0.1,22.97,K7,No,CHR0207,South-Central
0.16,26.04,K8,No,CHR0207,South-Central
0.17,24.7,K9,No,CHR0207,South-Central
0.05,17.55,N1,No,CHR0214,South
0.04,16.36,N2,No,CHR0214,South
0.03,14.76,N3,No,CHR0214,South
0.04,16.44,P1,No,CHR0224,South
0.05,18.23,P2,No,CHR0224,South
0.22,28.32,P3,No,CHR0224,South
0.04,17.54,Q1,No,CHR0227,South-Central
0.03,14.88,Q2,No,CHR0227,South-Central
0.13,27.25,U1,No,CHR0254,Central
0.05,18.54,U2,No,CHR0254,Central
0.14,24.61,U3,No,CHR0254,Central
0.06,19.11,U4,No,CHR0254,Central
0.04,18.42,U5,No,CHR0254,Central
0.08,19.63,U6,No,CHR0254,Central
0.07,19.54,U7,No,CHR0254,Central
0.05,17.54,U8,No,CHR0254,Central
0.19,25.27,U9,No,CHR0254,Central
0.1,23.12,V1,No,CHR0259,North-Central
0.16,24.41,V2,No,CHR0259,North-Central
0.12,23.56,V3,No,CHR0259,North-Central
0.12,23.44,V4,No,CHR0259,North-Central
0.14,23.68,V5,No,CHR0259,North-Central
0.09,22.92,V6,No,CHR0259,North-Central
0.07,19.4,V7,No,CHR0259,North-Central
0.13,24.97,W1,No,CHR0260,North-Central
0.09,22.71,W3,No,CHR0260,North-Central
0.05,17.74,X1,No,CHR0265,Central
0.04,17.12,X10,No,CHR0265,Central
0.05,19.14,X11,No,CHR0265,Central
0.06,19.98,X12,No,CHR0265,Central
0.06,18.79,X13,No,CHR0265,Central
0.1,21.16,X14,No,CHR0265,Central
0.19,25.97,X15,No,CHR0265,Central
0.12,22.12,X16,Yes,CHR0265,Central
0.06,18.57,X2,No,CHR0265,Central
0.04,18.08,X5,No,CHR0265,Central
0.04,16.61,X6,No,CHR0265,Central
0.04,16.74,X7,No,CHR0265,Central
0.05,18.19,X8,No,CHR0265,Central
0.05,18.42,X9,No,CHR0265,Central
0.08,21.03,Y1,No,CHR0267,Central
0.06,19.13,Z1,No,CHR0268,Central
